##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	DR34_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	946744
Sequences flagged as poor quality	0
Sequence length	35-251
%GC	39
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.84237132741269	32.0	32.0	33.0	30.0	34.0
2	31.8810713350177	33.0	32.0	33.0	29.0	34.0
3	32.326013156671706	33.0	32.0	34.0	32.0	34.0
4	32.21458916032211	33.0	32.0	34.0	32.0	34.0
5	32.05182076675427	33.0	32.0	34.0	31.0	34.0
6	35.5525442991981	37.0	37.0	37.0	33.0	37.0
7	35.587191468865925	37.0	37.0	37.0	33.0	37.0
8	35.57393867824882	37.0	37.0	37.0	33.0	37.0
9	35.734157280109514	37.0	37.0	37.0	33.0	37.0
10-14	36.219880559052925	37.4	36.6	37.4	34.6	37.4
15-19	37.12861681721775	38.0	38.0	38.0	36.8	38.0
20-24	37.43146700692056	38.4	38.0	38.4	37.0	38.4
25-29	37.81477252562466	39.0	38.0	39.0	37.0	39.0
30-34	37.75561355551237	39.0	38.0	39.0	37.0	39.0
35-39	37.793171457298854	39.0	38.0	39.0	37.0	39.0
40-44	37.760556395996545	39.0	38.0	39.0	36.8	39.0
45-49	37.754499649134445	39.0	38.0	39.0	37.0	39.0
50-54	37.75999317978686	39.0	38.0	39.0	37.0	39.0
55-59	37.68857811896281	39.0	38.0	39.0	36.2	39.0
60-64	37.69522847958886	39.0	38.0	39.0	36.0	39.0
65-69	37.70565292198709	39.0	38.0	39.0	36.4	39.0
70-74	37.65698810311228	39.0	38.0	39.0	36.0	39.0
75-79	37.60412837535766	39.0	38.0	39.0	36.0	39.0
80-84	37.57067085203412	39.0	38.0	39.0	36.0	39.0
85-89	37.52736786273944	39.0	38.0	39.0	36.0	39.0
90-94	37.50570524728851	39.0	38.0	39.0	36.0	39.0
95-99	37.44191481096906	39.0	38.0	39.0	36.0	39.0
100-104	37.39008150834429	39.0	38.0	39.0	36.0	39.0
105-109	37.306920956855684	39.0	38.0	39.0	36.0	39.0
110-114	37.30705296641097	39.0	38.0	39.0	35.8	39.0
115-119	37.19928017723358	39.0	38.0	39.0	35.2	39.0
120-124	37.15085932147849	39.0	38.0	39.0	35.0	39.0
125-129	37.07904157649475	39.0	38.0	39.0	34.6	39.0
130-134	36.99969292111301	39.0	38.0	39.0	34.0	39.0
135-139	36.90490469201737	39.0	37.8	39.0	33.8	39.0
140-144	36.828749248982106	39.0	37.2	39.0	33.6	39.0
145-149	36.724023262185696	39.0	37.0	39.0	33.2	39.0
150-154	36.617210054661726	39.0	37.0	39.0	33.0	39.0
155-159	36.416107223315876	39.0	37.0	39.0	33.0	39.0
160-164	36.37516418819037	38.8	37.0	39.0	32.4	39.0
165-169	36.23465099201977	38.4	37.0	39.0	31.4	39.0
170-174	36.04067059212271	38.0	37.0	39.0	30.2	39.0
175-179	35.86689064498946	38.0	37.0	39.0	28.8	39.0
180-184	35.78721112302725	38.0	37.0	39.0	28.0	39.0
185-189	35.50432717884413	38.0	37.0	39.0	26.8	39.0
190-194	35.38523285067542	38.0	36.8	39.0	26.6	39.0
195-199	35.07820661261681	38.0	35.8	39.0	25.2	39.0
200-204	34.85634197824827	38.0	35.2	39.0	22.8	39.0
205-209	34.59496465966693	38.0	34.8	39.0	20.8	39.0
210-214	34.3565330400521	38.0	34.0	39.0	15.8	39.0
215-219	34.11911019796512	37.2	34.0	39.0	15.0	39.0
220-224	33.77733707113528	37.0	33.4	38.0	15.0	39.0
225-229	33.45617160149417	37.0	33.0	38.0	15.0	39.0
230-234	33.08749825945144	37.0	33.0	38.0	15.0	39.0
235-239	32.75059970058982	37.0	33.0	38.0	15.0	38.8
240-244	32.43928780493863	37.0	32.4	38.0	14.6	38.0
245-249	31.9515071752814	37.0	30.6	37.4	14.0	38.0
250-251	29.3782456827469	34.5	22.0	37.0	14.0	37.5
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.03710439269059407
1101	2	0.006990329486953328
1101	3	0.009568202909129297
1101	4	0.012198843107896096
1101	5	0.10132733592689647
1101	6	0.07765937978386717
1101	7	0.047135904524409966
1101	8	-0.09525083358478525
1101	9	-0.09699999941508253
1101	10-14	-0.012985061639433582
1101	15-19	0.10582972025455462
1101	20-24	0.07117097847272902
1101	25-29	0.06991878172694754
1101	30-34	0.05424450228817079
1101	35-39	-0.026950749213902725
1101	40-44	0.14249952186822412
1101	45-49	0.04243166082989802
1101	50-54	0.08253243439924773
1101	55-59	0.09015749965224984
1101	60-64	0.0706889137149318
1101	65-69	0.07582199630321185
1101	70-74	0.11244474983539021
1101	75-79	0.11907003017424245
1101	80-84	0.09942337916706379
1101	85-89	0.07923644234276139
1101	90-94	0.05361996386377399
1101	95-99	0.10045561323195074
1101	100-104	0.1264736681574874
1101	105-109	0.13174625278908536
1101	110-114	0.08815466561452467
1101	115-119	0.13249326130255668
1101	120-124	0.06762573318815868
1101	125-129	0.16992029526826968
1101	130-134	0.11915593061311114
1101	135-139	0.09197589974907316
1101	140-144	0.16569467972099972
1101	145-149	0.15347359526980853
1101	150-154	0.16462273735714916
1101	155-159	0.24551030652359884
1101	160-164	0.14037462941402623
1101	165-169	0.10316273156276168
1101	170-174	0.2595891130174408
1101	175-179	0.17491976571287893
1101	180-184	0.11489089809737862
1101	185-189	0.19443281169424864
1101	190-194	0.06467830080206483
1101	195-199	0.15415317169985343
1101	200-204	0.1057201372499037
1101	205-209	0.08760811021655002
1101	210-214	0.17651842661402384
1101	215-219	0.07915887916630737
1101	220-224	0.12131490445795379
1101	225-229	-0.016301282423796692
1101	230-234	0.03104630848912393
1101	235-239	0.05312076273211375
1101	240-244	-0.1179935950277411
1101	245-249	-0.08800110903720437
1101	250-251	-0.20077831782827715
1102	1	0.1509152609244886
1102	2	0.1173525240713289
1102	3	0.07804188026158698
1102	4	0.11785721079601075
1102	5	0.08497600780384573
1102	6	-0.06502963620462054
1102	7	0.13606849545252686
1102	8	-0.04706114805926376
1102	9	-0.067796557883824
1102	10-14	-0.04681543034224944
1102	15-19	0.02344734668338333
1102	20-24	0.03764689177393166
1102	25-29	0.0902428348795965
1102	30-34	0.028150128062712554
1102	35-39	0.036968405729318476
1102	40-44	0.13218689275147
1102	45-49	0.03822427135212081
1102	50-54	0.029071704705565082
1102	55-59	0.10316523889954254
1102	60-64	0.1198122661041765
1102	65-69	0.11959758474165483
1102	70-74	0.16271891493230584
1102	75-79	0.1981636818819723
1102	80-84	0.21973395719980005
1102	85-89	0.11743811874904964
1102	90-94	0.22359204118075837
1102	95-99	0.19172181677625133
1102	100-104	0.23765230404190163
1102	105-109	0.18774324024659705
1102	110-114	0.15607783127535413
1102	115-119	0.25236185626926044
1102	120-124	0.26922383772496516
1102	125-129	0.28494438460656824
1102	130-134	0.3196855672376344
1102	135-139	0.30650118289253925
1102	140-144	0.3782904687549262
1102	145-149	0.3257361094041258
1102	150-154	0.3904291055773683
1102	155-159	0.4385354317427712
1102	160-164	0.4433092806681529
1102	165-169	0.45047502462367817
1102	170-174	0.48041328165777486
1102	175-179	0.49052093170514155
1102	180-184	0.4380448481712875
1102	185-189	0.599682768995585
1102	190-194	0.4651206667390966
1102	195-199	0.6177965560482122
1102	200-204	0.7260431855382024
1102	205-209	0.6262515119304553
1102	210-214	0.529047862390172
1102	215-219	0.761286017242945
1102	220-224	0.7641506681456747
1102	225-229	0.8808208909867759
1102	230-234	0.9392613294430134
1102	235-239	0.9483967592939209
1102	240-244	0.959340625273434
1102	245-249	1.025926021441446
1102	250-251	1.1569591076261965
1103	1	0.12364247208526535
1103	2	0.29764678114839427
1103	3	0.2289439525899084
1103	4	0.08618935897425928
1103	5	0.2320794887736426
1103	6	0.21185239007196088
1103	7	0.29773973343166915
1103	8	0.006702227262422866
1103	9	0.044828899247420395
1103	10-14	0.15734920462998758
1103	15-19	0.1948157606072627
1103	20-24	0.21719158905145264
1103	25-29	0.1759257551017228
1103	30-34	0.2692544894334361
1103	35-39	0.17015168422238247
